Address,entry_date,,,,
3006 Falling Leaves Lane,4/3/15,,,,
3008 Blackford Parkway,6/26/07,,,,
3008 Falling Leaves Lane,2/4/16,,,,
3008 Quaker Hill Lane,5/24/00,,,,
3008 Shaker Run Circle,3/2/00,,,,
3009 Blackford Parkway,11/4/11,,,,
3009 Falling Leaves Lane,8/21/13,,,,
3009 Quaker Hill Lane,10/2/00,,,,
3009 Shaker Oaks Court,4/19/00,,,,
3009 Shaker Run Circle,2/10/00,,,,
3010 Falling Leaves Lane,11/7/16,,,,
3012 Blackford Parkway,2/22/12,,,,
3012 Polo Club Boulevard,5/10/01,,,,
3012 Quaker Hill Lane,2/11/00,,,,
3012 Shaker Oaks Court,4/19/00,,,,
3012 Shaker Run Circle,2/10/00,,,,
3013 Blackford Parkway,12/26/07,,,,
3013 Falling Leaves Lane,8/17/12,,,,
3013 Polo Club Boulevard,2/8/00,,,,
3013 Quaker Hill Lane,3/2/00,,,,
3014 Falling Leaves Lane,7/11/14,,,,
3016 Blackford Parkway,3/6/14,,,,
3017 Bobwhite Trail,4/24/15,,,,
3017 Falling Leaves Lane,10/31/11,,,,
3017 Many Oaks Park,8/16/04,,,,
3017 Polo Club Boulevard,3/6/00,,,,
3017 Quaker Hill Lane,2/11/00,,,,
3018 Falling Leaves Lane,3/24/15,,,,
3020 Many Oaks Park,11/4/04,,,,
3021 Bobwhite Trail,11/17/14,,,,
3021 Falling Leaves Lane,3/30/16,,,,
3021 Quaker Hill Lane,2/11/00,,,,
3022 Falling Leaves Lane,11/9/15,,,,
3024 Blackford Parkway,3/14/12,,,,
3024 Quaker Hill Lane,2/11/00,,,,
3025 Blackford Parkway,5/15/07,,,,
3025 Bobwhite Trail,4/28/09,,,,
3025 Falling Leaves Lane,3/30/16,,,,
3025 Many Oaks Park,8/26/04,,,,
3025 Quaker Hill Lane,2/11/00,,,,
3028 Blackford Parkway,2/9/11,,,,
3028 Falling Leaves Lane,11/11/15,,,,
3028 Many Oaks Park,8/27/04,,,,
3028 Quaker Hill Lane,2/11/00,,,,
3029 Blackford Parkway,12/18/09,,,,
3029 Bobwhite Trail,1/25/10,,,,
3029 Falling Leaves Lane,7/8/15,,,,
3029 Quaker Hill Lane,2/11/00,,,,
3032 Many Oaks Park,12/3/04,,,,
3032 Polo Club Boulevard,2/8/00,,,,
3032 Quaker Hill Lane,2/10/00,,,,
3033 Blackford Parkway,10/15/07,,,,
3033 Bobwhite Trail,2/16/16,,,,
3033 Many Oaks Park,9/30/04,,,,
